Country,Country Code,Indicator Name,Indicator Code,id,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,2014
Botswana,BWA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.752275866,8.353075943,5.956266323,0.94329413,1.491451999,1.392117655,1.014492507,0.848781974,0.588025828,
Central African Republic,CAF,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.905185253,6.066645591,6.602773404,6.667411209,7.299850732,7.396659191,7.255738534,7.322039168,6.015891901,
Central Europe and the Baltics,CEB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37172448,4.086352916,3.745712369,3.950684931,4.333471964,3.765357746,3.354715561,3.396830415,3.438743158,
Switzerland,CHE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.179525636,5.926562562,5.615436835,5.073572005,5.370379336,4.704849622,4.462932771,4.778248294,4.713527342,
Channel Islands,CHI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.542672071,3.545858793,3.782856987,2.573457519,2.971984606,2.643249212,2.364927566,2.635557974,2.743116889,
China,CHN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.827778,3.693988408,3.511906078,3.580483441,4.52873761,4.2002073,4.368187542,5.617278291,6.501238414,
Cote d'Ivoire,CIV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450951023,7.676285133,7.062263203,6.295938044,6.080751623,5.280543663,,,,
Cameroon,CMR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04318173,11.19597588,7.785376624,6.999091888,7.636371279,4.159178546,7.572345989,8.18641684,8.990377705,
"Congo, Rep.",COG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.113671193,2.980074024,2.630838735,,,,,,,
Colombia,COL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.610325968,6.99164816,6.483758025,6.110521115,7.112476433,6.674839899,5.768225862,6.334478195,6.418568004,
Comoros,COM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4527732,15.41747083,14.6328157,12.14135545,11.83015984,12.16253036,12.05291093,11.50290632,,
Cabo Verde,CPV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77652571,13.18745717,11.90198697,12.08734854,13.39262329,12.3905778,10.33961026,11.46385063,11.15444706,
Costa Rica,CRI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.154527202,6.522937265,7.000547932,5.532310857,4.85186146,4.634687318,3.838968528,3.863783904,3.80106508,
Caribbean small states,CSS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.889218618,5.880912364,5.367402917,4.1482826,5.172977283,5.147193423,3.027306502,4.030283519,5.114236744,
Cuba,CUB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.77943782,11.11762244,13.25844851,13.2858382,15.25248913,13.29255495,14.65814418,16.05701718,17.40340403,
Czech Republic,CZE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.524023037,3.228367209,3.294380097,3.590463574,3.960684718,3.389115732,3.220151755,3.134053946,3.315188483,
Germany,DEU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05246776,7.93786956,7.673816851,7.475543035,8.239302501,7.176598721,6.651820281,6.633113947,7.087754469,
Djibouti,DJI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.987756171,3.529525083,2.497365911,2.244281094,3.099115639,4.284851283,5.088462262,4.174635432,3.442823495,
Dominica,DMA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098785889,5.028851368,4.654473717,3.828455593,4.915567627,4.914586358,4.531603237,4.782315571,5.219423446,
Denmark,DNK,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.107633189,5.632148652,5.712186007,5.4849886,6.669427203,6.570930627,6.159812008,6.188472636,6.345294415,
Dominican Republic,DOM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.777601899,4.443123974,4.125970302,3.42047398,4.431039303,3.579016798,3.410789779,3.347597008,3.60367656,
Algeria,DZA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.678571429,1.632685255,1.511877631,1.249288603,1.172331932,1.336686237,0.961276133,0.905865517,0.734353316,
East Asia & Pacific (developing only),EAP,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.977587469,3.939562017,3.858242817,3.847953942,4.589918967,4.306085118,4.260311864,5.124952141,5.848337115,
East Asia & Pacific (all income levels),EAS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.462370659,4.876335911,4.782909501,4.427583939,5.050584046,4.713734824,4.448104943,4.869394546,5.190753508,
Europe & Central Asia (developing only),ECA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.282760489,3.748088611,3.616150044,3.481703044,4.409410584,3.851554628,3.456532096,3.501117488,3.762643712,
Europe & Central Asia (all income levels),ECS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.149377823,6.533585731,6.339241154,6.126432484,6.82833313,6.16163914,5.782601429,5.954277542,6.26501791,
Ecuador,ECU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4340007,5.134935445,4.693094248,3.775366236,4.772971064,3.812553976,3.474432674,3.40581502,3.305279796,
"Egypt, Arab Rep.",EGY,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.628337456,5.316538726,5.374631961,5.042931862,5.462268374,4.503676778,4.195102401,4.414192858,,
Euro area,EMU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.642565189,6.066812841,5.914098376,5.879328171,6.651308829,5.909398191,5.549694649,5.534030366,5.750479709,
Eritrea,ERI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33846961,5.083748787,5.059580909,5.301543382,6.119230961,5.615802945,5.091444014,5.090313902,5.396754063,
Estonia,EST,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.711828217,5.184922827,4.851757476,5.361440298,6.194628511,5.332779544,4.982150175,4.815987871,5.562787556,
Ethiopia,ETH,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.573133794,1.838471456,1.549707985,1.625350608,1.537126646,1.442872394,1.459143209,1.280968139,,
European Union,EUU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09643003,6.504221861,6.347695593,6.184586419,6.789380951,6.075652591,5.690821482,5.739123622,5.95157026,
Fragile and conflict affected situations,FCS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.791358074,5.400780904,5.453330975,4.582156312,4.877747463,5.268740335,4.099082454,4.511106505,4.005613159,
Finland,FIN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.986353501,4.93333363,4.896061238,4.788403068,6.196045276,5.775355316,5.552578782,5.65460175,6.136331398,
Fiji,FJI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.938248967,5.400708344,5.057681656,4.252604595,6.249709119,5.074939154,4.731263301,4.35129172,3.724073562,
France,FRA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.877466658,6.284509797,6.381564217,6.12044464,6.594685489,6.177580092,6.138048627,5.988631287,6.123955103,
Faeroe Islands,FRO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46000983,,,,,,,,,
United Kingdom,GBR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86408273,10.16898725,10.51766967,9.886864336,9.393019302,8.385577221,7.876120304,7.971225135,8.223871076,
Georgia,GEO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.253928171,5.872581927,4.711627472,4.510985121,5.92596879,5.381227624,4.807345397,5.157341856,5.799868156,
Ghana,GHA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.129477889,6.939002107,8.107540414,6.923133786,8.626510322,6.333781677,5.25905457,4.449668297,4.364813029,
Guinea,GIN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.698080891,3.26430522,6.346058503,1.657092355,2.013229796,0.944208392,1.833022842,1.307506362,2.152875324,
"Gambia, The",GMB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59749621,2.529318131,2.183903978,2.220985149,2.62755787,3.448954591,3.02192378,1.821858857,,
Guinea-Bissau,GNB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79935381,10.68273988,17.23543035,16.23392798,8.99024196,9.861873203,11.35576422,9.63543624,,
Equatorial Guinea,GNQ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
